LEVEL_1;LEVEL_2;LEVEL_1_EN_us;LEVEL_2_EN_us;LEVEL_1_CS_cz;LEVEL_2_CS_cz
0x0;0x0;Undefined;undefined content;Nedefinovaný;
0x0;0x1;Undefined;undefined content;Nedefinovaný;
0x0;0x2;Undefined;undefined content;Nedefinovaný;
0x0;0x3;Undefined;undefined content;Nedefinovaný;
0x0;0x4;Undefined;undefined content;Nedefinovaný;
0x0;0x5;Undefined;undefined content;Nedefinovaný;
0x0;0x6;Undefined;undefined content;Nedefinovaný;
0x0;0x7;Undefined;undefined content;Nedefinovaný;
0x0;0x8;Undefined;undefined content;Nedefinovaný;
0x0;0x9;Undefined;undefined content;Nedefinovaný;
0x0;0xA;Undefined;undefined content;Nedefinovaný;
0x0;0xB;Undefined;undefined content;Nedefinovaný;
0x0;0xC;Undefined;undefined content;Nedefinovaný;
0x0;0xD;Undefined;undefined content;Nedefinovaný;
0x0;0xE;Undefined;undefined content;Nedefinovaný;
0x0;0xF;Undefined;undefined content;Nedefinovaný;
0x1;0x0;Movie/Drama;movie/drama (general);Film / Drama;film / drama (obecně)
0x1;0x1;Movie/Drama;detective/thriller;Film / Drama;detektivka / thriller
0x1;0x2;Movie/Drama;adventure/western/war;Film / Drama;dobrodružství / western / válka
0x1;0x3;Movie/Drama;science fiction/fantasy/horror;Film / Drama;science fiction / fantasy / horor
0x1;0x4;Movie/Drama;comedy;Film / Drama;komedie
0x1;0x5;Movie/Drama;soap/melodrama/folkloric;Film / Drama;telenovela / melodrama / folklór
0x1;0x6;Movie/Drama;romance;Film / Drama;romance
0x1;0x7;Movie/Drama;serious/classical/religious/historical movie/drama;Film / Drama;vážný / klasický / náboženský / historický film / drama
0x1;0x8;Movie/Drama;adult movie/drama;Film / Drama;film pro dospělé / drama
0x1;0x9;Movie/Drama;;Film / Drama;
0x1;0xA;Movie/Drama;;Film / Drama;
0x1;0xB;Movie/Drama;;Film / Drama;
0x1;0xC;Movie/Drama;;Film / Drama;
0x1;0xD;Movie/Drama;;Film / Drama;
0x1;0xE;Movie/Drama;;Film / Drama;
0x1;0xF;Movie/Drama;;Film / Drama;
0x2;0x0;News/Current affairs;news/current affairs (general);Zprávy / Aktuální události;zprávy / aktuální události
0x2;0x1;News/Current affairs;news/weather report;Zprávy / Aktuální události;zprávy / předpověď počasí
0x2;0x2;News/Current affairs;news magazine;Zprávy / Aktuální události;zpravodajský magazín
0x2;0x3;News/Current affairs;documentary;Zprávy / Aktuální události;dokuemnt
0x2;0x4;News/Current affairs;discussion/interview/debate;Zprávy / Aktuální události;diskuze / rozhovor / debata
0x2;0x5;News/Current affairs;;Zprávy / Aktuální události;
0x2;0x6;News/Current affairs;;Zprávy / Aktuální události;
0x2;0x7;News/Current affairs;;Zprávy / Aktuální události;
0x2;0x8;News/Current affairs;;Zprávy / Aktuální události;
0x2;0x9;News/Current affairs;;Zprávy / Aktuální události;
0x2;0xA;News/Current affairs;;Zprávy / Aktuální události;
0x2;0xB;News/Current affairs;;Zprávy / Aktuální události;
0x2;0xC;News/Current affairs;;Zprávy / Aktuální události;
0x2;0xD;News/Current affairs;;Zprávy / Aktuální události;
0x2;0xE;News/Current affairs;;Zprávy / Aktuální události;
0x2;0xF;News/Current affairs;;Zprávy / Aktuální události;
0x3;0x0;Show/Game show:;show/game show (general);Show / Herní show;show / herní show
0x3;0x1;Show/Game show:;game show/quiz/contest;Show / Herní show;herní show / kvíz / soutěž
0x3;0x2;Show/Game show:;variety show;Show / Herní show;různá show
0x3;0x3;Show/Game show:;talk show;Show / Herní show;talk show
0x3;0x4;Show/Game show:;;Show / Herní show;
0x3;0x5;Show/Game show:;;Show / Herní show;
0x3;0x6;Show/Game show:;;Show / Herní show;
0x3;0x7;Show/Game show:;;Show / Herní show;
0x3;0x8;Show/Game show:;;Show / Herní show;
0x3;0x9;Show/Game show:;;Show / Herní show;
0x3;0xA;Show/Game show:;;Show / Herní show;
0x3;0xB;Show/Game show:;;Show / Herní show;
0x3;0xC;Show/Game show:;;Show / Herní show;
0x3;0xD;Show/Game show:;;Show / Herní show;
0x3;0xE;Show/Game show:;;Show / Herní show;
0x3;0xF;Show/Game show:;;Show / Herní show;
0x4;0x0;Sports;sports (general);Sport;sport
0x4;0x1;Sports;special events (Olympic Games, World Cup, etc.);Sport;speciální událost
0x4;0x2;Sports;sports magazines;Sport;sportovní magazín
0x4;0x3;Sports;football/soccer;Sport;fotbal
0x4;0x4;Sports;tennis/squash;Sport;tenis
0x4;0x5;Sports;team sports (excluding football);Sport;týmové sporty
0x4;0x6;Sports;athletics;Sport;atletika
0x4;0x7;Sports;motor sport;Sport;motoristické sporty
0x4;0x8;Sports;water sport;Sport;vodní sporty
0x4;0x9;Sports;winter sports;Sport;zimní sporty
0x4;0xA;Sports;equestrian;Sport;jezdeské sporty
0x4;0xB;Sports;martial sports;Sport;bojové sporty
0x4;0xC;Sports;;Sport;
0x4;0xD;Sports;;Sport;
0x4;0xE;Sports;;Sport;
0x4;0xF;Sports;;Sport;
0x5;0x0;Children's/Youth programmes;children's/youth programmes (general);Dětské / Programy pro mladé;dětské / programy pro mladé
0x5;0x1;Children's/Youth programmes;pre-school children's programmes;Dětské / Programy pro mladé;předškolní děti
0x5;0x2;Children's/Youth programmes;entertainment programmes for 6 to14;Dětské / Programy pro mladé;děti od 6 do 14
0x5;0x3;Children's/Youth programmes;entertainment programmes for 10 to 16;Dětské / Programy pro mladé;děti od 10 do 16
0x5;0x4;Children's/Youth programmes;informational/educational/school programmes;Dětské / Programy pro mladé;informační / vzdělávací
0x5;0x5;Children's/Youth programmes;cartoons/puppets;Dětské / Programy pro mladé;animované / loutkové
0x5;0x6;Children's/Youth programmes;;Dětské / Programy pro mladé;
0x5;0x7;Children's/Youth programmes;;Dětské / Programy pro mladé;
0x5;0x8;Children's/Youth programmes;;Dětské / Programy pro mladé;
0x5;0x9;Children's/Youth programmes;;Dětské / Programy pro mladé;
0x5;0xA;Children's/Youth programmes;;Dětské / Programy pro mladé;
0x5;0xB;Children's/Youth programmes;;Dětské / Programy pro mladé;
0x5;0xC;Children's/Youth programmes;;Dětské / Programy pro mladé;
0x5;0xD;Children's/Youth programmes;;Dětské / Programy pro mladé;
0x5;0xE;Children's/Youth programmes;;Dětské / Programy pro mladé;
0x5;0xF;Children's/Youth programmes;;Dětské / Programy pro mladé;
